lon,lat
-3.708053355,1.197899187
-3.697469413,1.268511721
-3.686885472,1.339124255
-3.67630153,1.409736789
-3.665717588,1.470261818
-3.655133647,1.530786847
-3.644549705,1.591311876
-3.633965764,1.651836905
-3.623381822,1.712361934
-3.61279788,1.772886963
-3.591629997,1.833411992
-3.559878172,1.944374546
-3.517542406,2.055337099
-3.475206639,2.156212147
-3.443454814,2.216737176
-3.390535106,2.297437215
-3.337615398,2.378137254
-3.295279632,2.448749788
-3.242359924,2.519362322
-3.200024157,2.579887351
-3.125936566,2.680762399
-3.041265033,2.781637447
-2.9565935,2.862337486
-2.871921967,2.943037525
-2.787250434,3.003562554
-2.691994959,3.074175088
-2.596739485,3.144787622
-2.50148401,3.205312651
-2.406228536,3.255750175
-2.332140944,3.296100194
-2.23688547,3.346537719
-2.141629995,3.396975243
-2.046374521,3.437325262
-1.929951163,3.477675281
-1.824111747,3.518025301
-1.707688389,3.548287815
-1.591265031,3.568462825
-1.527761381,3.588637835
-1.45367379,3.59872534
-1.39017014,3.608812844
-1.326666491,3.618900349
-1.263162841,3.628987854
-1.199659191,3.639075359
-1.083235833,3.649162864
-0.966812475,3.659250369
-0.903308826,3.659250369
-0.829221234,3.659250369
-0.755133643,3.659250369
-0.681046052,3.659250369
-0.60695846,3.659250369
-0.532870869,3.659250369
-0.458783278,3.659250369
-0.384695686,3.659250369
-0.310608095,3.659250369
-0.247104445,3.659250369
-0.183600796,3.659250369
-0.109513204,3.659250369
-0.035425613,3.659250369
0.028078037,3.649162864
0.102165628,3.639075359
0.197421103,3.618900349
0.292676577,3.608812844
0.387932052,3.588637835
0.472603585,3.568462825
0.567859059,3.548287815
0.652530592,3.528112806
0.747786067,3.497850291
0.8324576,3.477675281
0.906545191,3.447412767
0.980632782,3.417150252
1.044136432,3.396975243
1.107640082,3.376800233
1.213479498,3.326362709
1.329902856,3.275925185
1.393406506,3.24566267
1.456910155,3.205312651
1.520413805,3.175050136
1.594501396,3.124612612
1.689756871,3.064087583
1.774428404,3.013650059
1.848515995,2.963212535
1.964939353,2.882512496
2.070778769,2.791724952
2.166034244,2.700937409
2.261289718,2.610149865
2.345961251,2.509274817
2.388297018,2.448749788
2.462384609,2.337787234
2.504720376,2.277262205
2.547056142,2.206649672
2.589391909,2.146124643
2.631727675,2.085599613
2.695231325,1.984724565
2.748151033,1.904024526
2.801070741,1.833411992
2.843406507,1.772886963
2.875158332,1.712361934
2.917494099,1.6417494
2.959829865,1.550961857
3.002165632,1.460174313
3.044501398,1.36938677
3.076253223,1.298774236
3.108005048,1.228161702
3.129172931,1.167636673
3.150340814,1.107111644
3.171508698,1.046586615
3.182092639,0.965886576
3.192676581,0.885186537
3.213844464,0.804486499
3.224428406,0.72378646
3.235012347,0.632998916
3.235012347,0.532123868
3.235012347,0.441336324
3.235012347,0.350548781
3.235012347,0.259761237
3.235012347,0.168973694
3.235012347,0.088273655
3.235012347,0.007573616
3.224428406,-0.063038918
3.213844464,-0.133651451
3.192676581,-0.194176481
3.171508698,-0.25470151
3.097421106,-0.335401548
3.023333515,-0.416101587
2.959829865,-0.486714121
2.896326216,-0.537151645
2.811654683,-0.617851684
2.72698315,-0.708639227
2.652895558,-0.779251761
2.568224025,-0.8599518
2.483552492,-0.950739344
2.388297018,-1.031439382
2.303625485,-1.122226926
2.20837001,-1.223101974
2.123698477,-1.313889518
2.039026944,-1.414764566
1.94377147,-1.515639615
1.848515995,-1.626602168
1.795596287,-1.687127197
1.742676579,-1.747652226
1.700340813,-1.808177255
1.647421104,-1.868702284
1.594501396,-1.939314818
1.520413805,-2.020014857
1.456910155,-2.100714895
1.382822564,-2.181414934
1.298151031,-2.272202478
1.213479498,-2.352902516
1.128807965,-2.433602555
1.054720374,-2.514302594
0.991216724,-2.584915128
0.927713074,-2.655527662
0.874793366,-2.716052691
0.821873658,-2.77657772
0.779537892,-2.837102749
0.7054503,-2.927890292
0.641946651,-2.988415321
0.589026943,-3.059027855
0.536107234,-3.119552884
0.472603585,-3.180077913
0.409099935,-3.230515438
0.345596285,-3.280952962
0.282092636,-3.341477991
0.208005044,-3.40200302
0.144501395,-3.462528049
0.080997745,-3.523053078
0.038661978,-3.583578107
-0.003673788,-3.644103136
